번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(백만원),액면가(원),통화구분,대표전화,주소,총카운트
57,021320,KCC건설,064101,건물 건설업,"21,400,000","107,000,000,000","5,000",원(KRW),02-513-5500,서울특별시 서초구  강남대로 587 KCC 건설 ,2046
58,036670,KCI,032004,기타 화학제품 제조업,"11,270,000","5,635,000,000","500",원(KRW),031 -497 -6411,충남 서산시 대산읍 대죽리 13-7 ,2046
59,009440,KC그린홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","22,434,980","11,217,490,000","500",원(KRW),02-320-6311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,2046
60,119650,KC코트렐,032901,일반 목적용 기계 제조업,"10,000,000","5,000,000,000","500",원(KRW),02-3206-311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,2046
61,044180,KD건설,064101,건물 건설업,"152,486,194","15,248,619,400","100",원(KRW),031-491-8577,경기도 안산시 단원구 광덕서로 102 406-3호,2046
62,092220,KEC,032601,반도체 제조업,"59,047,384","29,523,692,000","500",원(KRW),02-2025-5000,서울특별시 서초구  마방로10길 5 ,2046
63,151860,KG ETS,043503,"증기, 냉온수 및 공기조절 공급업","36,000,000","20,051,860,000","500",원(KRW),031-488-1122,경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주),2046
64,109070,KGP,031702,"골판지, 종이 상자 및 종이 용기 제조업","37,773,517","18,886,758,500","500",원(KRW),031-627-9322,경기도 용인시 처인구  이동면 백옥대로 563 ,2046
65,046440,KG모빌리언스,105802,소프트웨어 개발 및 공급업,"20,711,421","10,355,710,500","500",원(KRW),(02)2192-2000,"경기도 성남시 분당구  대왕판교로 660 삼평동, 유스페이스1 에이-5층",2046
66,035600,KG이니시스,105802,소프트웨어 개발 및 공급업,"26,580,081","13,290,040,500","500",원(KRW),(02)3430-5913,경기도 성남시 분당구 대왕판교로 660 유스페이스1 A동 5층 ,2046
67,001390,KG케미칼,032001,기초화학물질 제조업,"11,478,870","59,702,595,000","5,000",원(KRW),02-2680-4114,울산광역시 울주군 온산읍 당월로 322 ,2046
68,060720,KH바텍,032602,전자부품 제조업,"20,000,000","10,000,000,000","500",원(KRW),054-465-0630,경상북도 구미시  1공단로10길 53-12 (주)KH바텍 ,2046
69,001940,KISCO홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","3,695,276","18,476,380,000","5,000",원(KRW),055-260-0500,경상남도 창원시 성산구  공단로103번길 12 한국철강(주) ,2046
70,083470,KJ프리텍,032202,플라스틱제품 제조업,"19,376,007","9,688,003,500","500",원(KRW),031-230-6903,경기도 화성시  반월남길 77 (주)케이제이프리텍,2046
71,122450,KMH,106002,텔레비전 방송업,"13,473,695","6,736,847,500","500",원(KRW),02-2647-1255,서울특별시 양천구  목동서로 201 KT정보전산센터 7층,2046
72,052900,KMH하이텍,032202,플라스틱제품 제조업,"43,755,258","21,877,629,000","500",원(KRW),(041)539-6114,충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 ,2046
73,058400,KNN,106002,텔레비전 방송업,"13,242,972","66,214,860,000","5,000",원(KRW),051-850-9214,부산광역시 해운대구  센텀서로 30 케이엔엔타워 ,2046
74,083420,KPX그린케미칼,032004,기타 화학제품 제조업,"20,000,000","10,000,000,000","500",원(KRW),041-661-5000,충남 서산시 대산읍 독곳리 411-13,2046
75,114450,KPX생명과학,032101,기초 의약물질 및 생물학적 제제 제조업,"15,000,000","7,500,000,000","500",원(KRW),061-688-4600,전라남도 여수시 여수산단2로 84 ,2046
76,025000,KPX케미칼,032001,기초화학물질 제조업,"4,840,000","24,200,000,000","5,000",원(KRW),02-2014-4000,서울특별시 마포구  마포대로 137  KPX빌딩,2046
77,092230,KPX홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","4,224,646","21,123,230,000","5,000",원(KRW),02-2014-4150,서울특별시 마포구  마포대로 137 KPX빌딩 19층,2046
78,000040,KR모터스,033109,그외 기타 운송장비 제조업,"175,307,764","87,653,882,000","500",원(KRW),055-282-7011,경상남도 창원시 성산구 완암로 28 　,2046
79,044450,KSS해운,085001,해상 운송업,"11,592,940","5,796,470,000","500",원(KRW),3702-2700,서울특별시 종로구 인사동길 12 대일빌딩 8층 ,2046
80,030210,KTB투자증권,116601,금융지원 서비스업,"60,314,092","301,570,460,000","5,000",원(KRW),02-2184-2000,서울특별시 영등포구  여의대로 66 KTB빌딩,2046
81,036030,KTH,106102,전기통신업,"35,715,022","35,715,022,000","1,000",원(KRW),02-1588-5668,서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워 ,2046
82,058850,KTcs,106309,기타 정보 서비스업,"42,685,000","23,842,500,000","500",원(KRW),042-604-5138,대전광역시 서구 갈마로 160 ,2046
83,043610,KT뮤직,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업","41,813,833","20,906,916,500","500",원(KRW),02-3282-2600,서울시 강남구 영동대로106길 17 ,2046
84,060370,KT서브마린,064203,전기 및 통신 공사업,"21,900,000","21,900,000,000","1,000",원(KRW),(051)704-0004,부산광역시 해운대구 송정광어골로 42  ,2046
85,093050,LF,031401,봉제의복 제조업,"29,240,000","146,200,000,000","5,000",원(KRW),02-3441-8114,서울특별시 강남구 언주로 870 (신사동) ,2046
86,003550,LG,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","172,557,131","879,359,040,000","5,000",원(KRW),02-3773-5114,서울특별시 영등포구  여의대로 128 ,2046
87,034220,LG디스플레이,032602,전자부품 제조업,"357,815,700","1,789,078,500,000","5,000",원(KRW),02-3777-5114,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층) ,2046
88,001120,LG상사,074601,상품 중개업,"38,760,000","193,800,000,000","5,000",원(KRW),02-3773-1114,서울특별시 영등포구  여의대로 128 LG트윈타워 동관,2046
89,068870,LG생명과학,032102,의약품 제조업,"16,576,990","84,066,030,000","5,000",원(KRW),02-3773-1114,서울특별시 종로구  새문안로 58 ,2046
90,051900,LG생활건강,032004,기타 화학제품 제조업,"15,618,197","88,589,470,000","5,000",원(KRW),02-3773-5114,서울특별시 종로구  새문안로 58 ,2046
91,032640,LG유플러스,106102,전기통신업,"436,611,361","2,573,969,175,000","5,000",원(KRW),02-3773-1114,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,2046
92,011070,LG이노텍,032602,전자부품 제조업,"23,667,107","118,335,535,000","5,000",원(KRW),02-3777-1114,서울특별시 중구 한강대로 416 서울스퀘어 20층 ,2046
93,066570,LG전자,032604,통신 및 방송 장비 제조업,"163,647,814","904,169,030,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128 LG트윈타워,2046
94,108670,LG하우시스,032202,플라스틱제품 제조업,"8,967,670","50,000,000,000","5,000",원(KRW),3777-1114,서울특별시 영등포구 국제금융로 10 국제금융센터(One IFC),2046
95,051910,LG화학,032001,기초화학물질 제조업,"66,271,100","369,500,105,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128 ,2046
96,079550,LIG넥스원,032502,무기 및 총포탄 제조업,"22,000,000","110,000,000,000","5,000",원(KRW),1644 - 2005,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주) ,2046
97,006260,LS,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","32,200,000","161,000,000,000","5,000",원(KRW),02-2189-9988,서울특별시 강남구 영동대로 517 아셈타워 아셈타워 21층,2046
98,000680,LS네트웍스,074608,상품 종합 도매업,"78,798,750","393,993,750,000","5,000",원(KRW),02-799-7114,경상남도 김해시  분성로627번길 15 (주)엘에스네트웍스,2046
99,010120,LS산전,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","30,000,000","150,000,000,000","5,000",원(KRW),02-2034-4237,경기도 안양시 동안구  엘에스로 127 LS타워,2046
100,159910,MBK,032001,기초화학물질 제조업,"63,383,154","6,338,315,400","100",원(KRW),031-731-5400,경기도 성남시 중원구  갈마치로 176 ,2046
101,086960,MDS테크,105802,소프트웨어 개발 및 공급업,"8,815,608","4,838,225,000","500",원(KRW),031-627-3000,경기도 성남시 분당구 대왕판교로 644번길 49 
한컴타워 3층
(경기도 성남시 삼평동 676번지 한컴타워 3층) ,2046
102,023150,MH에탄올,031101,알콜음료 제조업,"7,378,526","4,596,763,000","500",원(KRW),055-231-0701,경상남도 창원시 마산회원구 내서읍 광려천남로 25 ,2046
103,065150,MPK,074603,음·식료품 및 담배 도매업,"80,808,407","8,080,840,700","100",원(KRW),02-596-3300,서울특별시 서초구  효령로 132 미피하우스,2046
104,035420,NAVER,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업","32,962,679","16,481,339,500","500",원(KRW),1588-3830,경기도 성남시 분당구  불정로 6 ,2046
105,160550,NEW,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","27,406,106","13,703,053,000","500",원(KRW),02-3490-9300,"서울특별시 강남구 언주로 726 (논현동, 8층) ",2046
106,181710,NHN엔터테인먼트,105802,소프트웨어 개발 및 공급업,"19,565,025","9,782,512,500","500",원(KRW),1544-6859,경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄,2046
107,060250,NHN한국사이버결제,106309,기타 정보 서비스업,"18,074,243","9,037,121,500","500",원(KRW),(02)2108-1000,서울특별시 구로구  디지털로33길 28 우림이-비즈센터 508호,2046
108,005940,NH투자증권,116601,금융지원 서비스업,"281,408,887","1,531,275,030,000","5,000",원(KRW),02-768-7000,서울특별시 영등포구 여의대로 60 우리투자증권빌딩,2046
109,034310,NICE,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","37,882,300","18,941,150,000","500",원(KRW),02-2122-4000,서울특별시 영등포구 국회대로74길 4 (여의도동) 나이스그룹 3사옥,2046
110,030190,NICE평가정보,106309,기타 정보 서비스업,"60,714,820","30,357,410,000","500",원(KRW),02-2122-4000,서울특별시 영등포구 국회대로74길 4- ,2046
111,008260,NI스틸,032401,1차 철강 제조업,"28,426,850","14,213,425,000","500",원(KRW),02-758-6789,서울특별시 중구 세종대로 23 창화빌딩 남대문로5가,2046
112,010060,OCI,032001,기초화학물질 제조업,"23,849,371","127,246,855,000","5,000",원(KRW),02-727-9500,서울특별시 중구  소공로 94 OCI 빌딩,2046
113,024940,PN풍년,032509,기타 금속가공제품 제조업,"10,000,000","5,000,000,000","500",원(KRW),02-2008-1030,경기도 안산시 단원구 별망로 620 ,2046
114,091340,S&K폴리텍,032602,전자부품 제조업,"8,356,445","4,178,222,500","500",원(KRW),031-432-8061,경기 안산시 단원구 성곡동 718-1 시화공단 4바 302호 ,2046
115,100840,S&TC,032901,일반 목적용 기계 제조업,"7,084,612","3,542,306,000","500",원(KRW),055-212-6500,경상남도 창원시 성산구  완암로 12 ,2046
116,064960,S&T모티브,033003,자동차 부품 제조업,"14,403,386","72,016,930,000","5,000",원(KRW),051-509-2114,부산광역시 기장군  철마면 여락송정로 363 ,2046
117,003570,S&T중공업,033003,자동차 부품 제조업,"32,473,439","83,683,597,500","2,500",원(KRW),055-280-5000,경상남도 창원시 성산구  남면로 599 ,2046
118,036530,S&T홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","15,830,105","8,115,052,500","500",원(KRW),02-3279-5010,서울특별시 금천구  가산디지털1로 134 ,2046
119,010950,S-Oil,031902,석유 정제품 제조업,"112,582,792","291,511,797,500","2,500",원(KRW),02-3772-5151,서울특별시 마포구  백범로 192 ,2046
120,950110,SBI액시즈,105802,소프트웨어 개발 및 공급업,"21,365,400","0","0",일본엔(JPY),81-3-3498-5011,"일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩 ",2046
121,019550,SBI인베스트먼트,116402,투자기관,"162,066,575","83,533,287,500","500",원(KRW),02-2139-9200,서울특별시 강남구 테헤란로 509엔씨타워1 14층 ,2046
122,034120,SBS,106002,텔레비전 방송업,"18,252,582","91,262,910,000","5,000",원(KRW),02-2061-0006,서울특별시 양천구  목동서로 161 ,2046
123,101060,SBS미디어홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","139,896,190","69,948,095,000","500",원(KRW),02-2113-5599,서울특별시 양천구  목동서로 161 ,2046
124,046140,SBS콘텐츠허브,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,463,555","10,731,777,500","500",원(KRW),02-2001-0631,"서울특별시 마포구 상암산로 82 SBS프리즘타워 15, 16층 ",2046
125,036120,SCI평가정보,147509,기타 사업지원 서비스업,"35,500,000","17,750,000,000","500",원(KRW),02  -3445-5000,서울특별시 마포구  토정로 144 건양사빌딩 ,2046
126,099220,SDN,074605,기계장비 및 관련 물품 도매업,"35,082,629","17,541,314,500","500",원(KRW),02-446-6691,경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층  ,2046
127,040610,SG&G,084904,소화물 전문 운송업,"34,087,196","17,043,598,000","500",원(KRW),02-2105-6315,경기도 성남시 분당구 대왕판교로606번길 47 SG타워 7층,2046
128,049470,SGA,105802,소프트웨어 개발 및 공급업,"78,237,597","39,118,798,500","500",원(KRW),070-7308-9319,서울특별시 서초구  마방로2길 44 ,2046
129,184230,SGA솔루션즈,105802,소프트웨어 개발 및 공급업,"23,100,310","2,310,031,000","100",원(KRW),02-574-6856,서울특별시 서초구 마방로2길 44 양재동 오상빌딩 5층,2046
130,232290,SGA시스템즈,105802,소프트웨어 개발 및 공급업,"6,014,763","3,007,381,500","500",원(KRW),070-7410-9300,"대구광역시 동구 첨단로8길 20, 403호(신서동) ",2046
131,004060,SG세계물산,074608,상품 종합 도매업,"202,424,960","101,212,480,000","500",원(KRW),02-850-5191,서울특별시 금천구  디지털로10길 35 ,2046
132,001380,SG충남방적,033003,자동차 부품 제조업,"41,747,470","20,873,735,000","500",원(KRW),070-5038-6334,충청남도 논산시  연무읍 양지길 45-18 ,2046
133,052300,SH 홀딩스,085209,기타 운송관련 서비스업,"79,710,017","39,855,008,500","500",원(KRW),02-6237-9786,인천광역시 중구  축항대로 147 (항동7가),2046
134,002360,SH에너지화학,032001,기초화학물질 제조업,"111,133,730","55,566,865,000","500",원(KRW),063-469-1500,전라북도 군산시 외항7길 20 ,2046
135,009160,SIMPAC,032902,특수 목적용 기계 제조업,"29,084,925","14,542,462,500","500",원(KRW),032-510-0044,인천광역시 부평구  부평북로 141 (주)SIMPAC,2046
136,090730,SIMPAC METALLOY,032401,1차 철강 제조업,"13,000,000","6,500,000,000","500",원(KRW),054-271-8700,경상북도 포항시 남구  괴동로 153 ,2046
137,034730,SK,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","70,360,297","15,385,286,400","200",원(KRW),02-2121-5114,서울특별시 종로구 종로 26 SK주식회사,2046
138,207930,SK1호스팩,116601,금융지원 서비스업,"5,500,000","550,000,000","100",원(KRW),02-3773-8373,서울특별시 영등포구 국제금융로2길 24 ,2046
139,219550,SK2호스팩,116601,금융지원 서비스업,"6,350,000","635,000,000","100",원(KRW),02-3773-8373,서울특별시 영등포구 국제금융로2길 24 &nbsp,2046
140,011790,SKC,032004,기타 화학제품 제조업,"36,905,061","184,525,305,000","5,000",원(KRW),031-250-7114,경기도 수원시 장안구 장안로309번길 84 (정자동) ,2046
141,057500,SKC 솔믹스,032602,전자부품 제조업,"43,310,218","21,655,109,000","500",원(KRW),(031)660-8400,경기도 평택시  경기대로 1043 ,2046
142,178920,SKC코오롱PI,032202,플라스틱제품 제조업,"29,366,322","14,683,161,000","500",원(KRW),031-436-8600,충청북도 진천군 이월면 고등1길 27 ,2046
143,018670,SK가스,074607,기타 전문 도매업,"8,796,377","43,981,885,000","5,000",원(KRW),02-6200-8424,경기도 성남시 분당구 판교로 332 ECO Hub,2046
144,001740,SK네트웍스,074607,기타 전문 도매업,"248,187,647","620,753,237,500","2,500",원(KRW),02-2221-2114,서울특별시 중구  남대문로 90 5-3 SK네트웍스,2046
145,036490,SK머티리얼즈,032001,기초화학물질 제조업,"10,547,673","5,273,836,500","500",원(KRW),054-630-8114,경상북도 영주시  가흥공단로 59-33 ,2046
146,096770,SK이노베이션,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","92,465,564","468,569,950,000","5,000",원(KRW),02-2121-5114,서울특별시 종로구  종로 26 ,2046
147,001510,SK증권,116601,금융지원 서비스업,"320,117,171","162,014,842,500","500",원(KRW),02-3773-8245,서울특별시 영등포구 국제금융로2길 24 ,2046
148,066270,SK컴즈,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업","43,427,530","21,713,765,000","500",원(KRW),02-3432-1114,서울특별시 서대문구  통일로 87 임광빌딩 ,2046
149,006120,SK케미칼,032005,화학섬유 제조업,"24,303,255","135,601,900,000","5,000",원(KRW),02-2008-2008,경기도 성남시 분당구 판교로 310 ,2046
150,017670,SK텔레콤,106102,전기통신업,"80,745,711","44,639,473,000","500",원(KRW),02-6100-2114,서울특별시 중구  을지로 65 (을자로2가),2046
151,000660,SK하이닉스,032601,반도체 제조업,"728,002,365","3,657,652,050,000","5,000",원(KRW),031-630-4114,경기도 이천시  부발읍 경충대로 2091 ,2046
152,048550,SM C&C,147502,여행사 및 기타 여행보조 서비스업,"69,532,552","34,766,276,000","500",원(KRW),02-3788-0000,서울특별시 강남구 삼성로 648한섬빌딩 ,2046
153,036540,STS반도체,032601,반도체 제조업,"128,913,842","64,714,221,000","500",원(KRW),041 -529 -0708,충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) ,2046
154,011810,STX,074608,상품 종합 도매업,"29,879,710","74,699,275,000","2,500",원(KRW),02-316-9600,경상남도 창원시 성산구  중앙대로 105  ,2046
155,077970,STX엔진,032901,일반 목적용 기계 제조업,"23,008,904","57,522,260,000","2,500",원(KRW),-,경상남도 창원시 성산구  공단로474번길 36 ,2046
